latitude___n,longitude___e
35.94,70.17
24.09,94.08
22.31,96.34
36.44,71.63
24.13,93.94
28.87,81.65
33.1,92.97
36.26,70.65
36.75,70.5
30.27,69.59
36.66,71.06
36.74,70.04
11.77,93.45
35.99,70.05
36.2,70.79
36.81,75.3
24.67,94.27
37.77,72.39
22.62,92.52
35.89,70.29
36.32,69.54
25.39,96.99
27.99,93.9
36.3,70.77
31.89,71.69
29.2,80.95
12.91,92.94
12.87,92.8
29.71,80.44
25.09,95
35.66,69.75
12.52,92.68
22.94,95.85
33.21,75.33
33.15,85.69
37.47,71.38
12.85,95.26
35.94,70.43
28.25,84.1
32.67,73.54
24.99,96.94
26.52,93.29
36.4,70.65
36.67,72.26
26.24,90.83
32.97,83.46
33,84.24
34.38,73.66
36.44,71.11
26.87,91.97
25.46,94.5
36.6,70.15
36,70.29
33.24,83.35
36.55,70.27
37.38,72.38
36.83,72.54
9.8,93.22
37.34,71.89
37.6,72.31
13.23,92.22
35.89,72.74
34.74,74.97
24.1,93.83
24.15,93.88
31.51,81.07
31.47,81.17
37.51,71.93
27.42,86.88
36.16,71.3
35.07,76.04
36.74,76.79
11.28,91.74
24.13,93.8
37.96,73.55
26.74,96.93
25.71,94.21
10.84,91.69
26.09,95.23
23.67,90.91
25.66,91.5
15.69,80.24
36.72,71.02
34.99,72.83
36.43,69.86
35.84,70.99
36.03,77.67
36.68,70.6
36.01,69.15
36.66,70.93
22.79,95.82
29.83,70.02
36.54,71
33.81,69.2
32.63,73.5
36.1,69.81
9.7,92.04
36.26,70.19
23.97,93.88
36.85,71.55
24.48,94.93
37.4,75.92
29.32,92.16
15.54,80.27
24.02,72.72
33.37,68.78
36.74,71.42
36.11,70.52
25.61,92.67
22.73,92.69
29,77.64
36.63,70.87
29.74,69.55
36.78,70.99
13.44,91.83
7.43,91.87
31.2,69.92
32.15,68.93
36.47,71.34
9.56,93.9
25.87,90.6
30.27,79.49
28.71,86.43
23.79,94.54
10.79,93.78
38,74.07
37.22,71.74
33.1,83.52
36.69,70.83
35.82,70.64
21.83,89.6
37.16,71.56
26.66,92.8
25.67,91.52
37.02,71.55
14.09,92.8
36.72,71.61
33.86,80.87
36.55,71.68
36.13,70.63
36.65,71.32
24.03,93.85
37.07,71.71
14.17,93.85
35.61,70.39
28.15,95.71
24.58,96.25
36.52,70.75
26.91,92.65
36.78,69.99
26.33,92.4
26.45,92.64
10.13,92.39
26.67,92.51
14.16,92.92
28.76,82.41
28.63,81.88
37.53,71.65
28.85,82.39
27.35,88.14
12.17,94.57
36.16,70.54
36.38,68.3
28.11,84.58
28,84.81
27.89,85.64
28.16,85.9
28.08,86.04
27.45,85.57
27.74,85.53
27.61,85.72
27.52,85.68
26.64,84.61
27.81,84.65
27.62,85.02
27.43,85.44
28.4,87.19
27.81,85.48
27.97,85
27.9,84.55
27.52,85.67
27.44,85.82
27.66,85.82
27.74,85.43
27.79,85.75
27.51,85.79
27.37,85.26
27.91,84.62
27.85,85.07
27.19,85.8
27.47,85.77
27.52,85.36
27.83,85.57
28.2,85.85
27.55,85.35
28.03,84.56
27.58,85.9
27.75,85.79
27.78,84.93
27.51,85.94
28,84.52
27.48,85.47
27.94,84.82
27.94,85.35
27.99,84.84
27.68,85.9
27.59,85.83
27.61,85.94
27.73,85.97
27.85,85.65
27.69,85.93
27.08,85.38
35.88,68.04
27.65,85.78
27.73,85.51
28.44,86.29
28.08,84.73
26.36,92.83
27.63,85.74
27.9,85.25
27.77,85.48
28.03,84.97
27.88,85.79
27.69,85.09
27.52,85.66
27.48,85.85
